run	laserHistMean	laserHistMeanErr	laserHistRMS	laserHistRMSErr	pedHistMean	pedHistErr	pedHistRMS	pedHistRMSErr	laserFitMean	laserFitMeanErr	laserFitSig	laserFitSigErr	pedFitMean	pedFitMeanErr	pedFitSig	pedFitSigErr	ks
00764	-0.5593	0.0151661	10.7252	0.0107241	-0.53529	0.0152199	10.7635	0.0107621	-0.612993	0.0168782	-10.1422	0.016624	-0.579808	0.0168787	-10.1474	0.0165821	0.550061
00766	-0.491055	0.0158155	11.1972	0.0111833	-0.486538	0.016116	11.4099	0.0113958	-0.64371	0.0167812	-10.1104	0.0166015	-0.625583	0.0167329	-10.0907	0.0163915	0.95955
00833	-0.474741	0.0170788	12.0707	0.0120766	-0.442398	0.0168407	11.9035	0.0119082	-0.648847	0.0173871	-10.2809	0.0173286	-0.623224	0.0173879	-10.3253	0.0173214	0.265019
00837	-0.512393	0.0156225	11.0542	0.0110468	-0.481281	0.0159271	11.2697	0.0112622	-0.651838	0.0174605	-10.3067	0.0183573	-0.623528	0.0173848	-10.3349	0.0173937	0.545383
00901	-0.611085	0.0180112	12.8362	0.0127358	-0.605684	0.0147226	10.4924	0.0104104	-0.66409	0.0171945	-10.309	0.0171385	-0.637483	0.0170717	-10.2627	0.0169884	0.239227
01032	-0.530961	0.0162912	11.6132	0.0115196	-0.535335	0.0153126	10.9157	0.0108276	-0.584178	0.0172727	-10.2994	0.0171264	-0.587021	0.0171467	-10.2955	0.0171065	0.991374
01093	-0.593965	0.0145882	10.3275	0.0103154	-0.575394	0.0146197	10.3498	0.0103377	-0.618491	0.0172201	-10.2768	0.0171296	-0.603908	0.0173238	-10.3162	0.0173268	0.702143
01404	-0.430992	0.0151862	10.7461	0.0107383	-0.48212	0.0156767	11.0932	0.0110851	-0.464785	0.0183884	10.7043	0.0190102	-0.510149	0.018356	10.689	0.0188976	0.178342
01465	0.436761	0.0158119	11.1882	0.0111807	0.438822	0.0158536	11.2176	0.0112102	0.412009	0.0185214	-10.7177	0.0191475	0.429629	0.0186346	-10.7634	0.0193501	0.57667
01570	-0.512393	0.0156225	11.0542	0.0110468	-0.481281	0.0159271	11.2697	0.0112622	-0.651838	0.0174605	-10.3067	0.0183573	-0.623528	0.0173848	-10.3349	0.0173937	0.545383
