run	spe_mean	spe_mean_err	spe_sigma	occupancy	occupancy_err	gauss_center
00521	-44.1308	10.4677	-nan	-0.070163	2.402e-05	106.431
00523	-2.74375	0.368509	24.9127	0.123215	3.40406e-05	108.434
00524	-56.0379	25.2975	-nan	-0.0561363	2.39348e-05	105.474
00525	-35.9608	16.2351	-nan	-0.0479373	2.57393e-05	108.17
00526	-60.9408	35.3762	-nan	-0.0514624	2.39761e-05	104.857
00527	-10.326	0.164838	-nan	0.443969	0.000133713	121.481
01207	-65.5002	4.20713e+06	85.298	8.80112e-05	7.48559e-06	124.793
01233	3.08172	15.2163	-nan	0.0059333	7.49435e-06	109.901
01281	45.9244	40420.9	117.681	0.000635323	7.49753e-06	227.202
01282	4.43371	61.5993	-nan	0.00317456	7.49314e-06	112.946
01283	1.7847	336.159	-nan	-0.00120649	7.47934e-06	109.619
01329	5.18316	48.1926	44.8022	0.00374379	7.49497e-06	118.641
01606	144.102	0.154725	58.1754	1.4636	1.25105e-05	169.709
01608	142.477	0.158804	59.7297	1.40902	1.21725e-05	167.382
01647	0	-nan	-nan	inf	-nan	-9999
01648	0	-nan	-nan	inf	-nan	-9999
01793	141.688	0.132521	57.9305	1.46448	1.10873e-05	161.775
01798	141.422	0.146837	57.5817	1.46781	1.23844e-05	165.603
